"shape_id","shape_pt_lat","shape_pt_lon","shape_pt_sequence","shape_dist_traveled"
"423032_ida","-23.7242","-46.57847","334","6938"
"423032_ida","-23.72417","-46.57863","335","6955"
"423032_ida","-23.72414","-46.57881","336","6973"
"423032_ida","-23.72405","-46.57921","337","7015"
"423032_ida","-23.72403","-46.5793","338","7024"
"423032_ida","-23.724","-46.57939","339","7034"
"423032_ida","-23.72394","-46.57955","340","7052"
"423032_ida","-23.7239","-46.57963","341","7061"
"423032_ida","-23.72384","-46.5797","342","7070"
"423032_ida","-23.7237","-46.57983","343","7090"
"423032_ida","-23.72355","-46.57993","344","7110"
"423032_ida","-23.72338","-46.58003","345","7131"
"423032_ida","-23.7232","-46.58012","346","7153"
"423032_ida","-23.72284","-46.58028","347","7196"
"423032_ida","-23.72199","-46.58064","348","7297"
"423032_ida","-23.72108","-46.58105","349","7406"
"423032_ida","-23.72078","-46.58118","350","7442"
"423032_ida","-23.72048","-46.58132","351","7478"
"423032_ida","-23.72009","-46.58147","352","7524"
"423032_ida","-23.71992","-46.58156","353","7545"
"423032_ida","-23.71983","-46.58161","354","7556"
"423032_ida","-23.71974","-46.58167","355","7568"
"423032_ida","-23.71951","-46.58184","356","7599"
"423032_ida","-23.71915","-46.58218","357","7652"
"423032_ida","-23.71883","-46.58248","358","7699"
"423032_ida","-23.71866","-46.58265","359","7724"
"423032_ida","-23.71847","-46.58283","360","7752"
"423032_ida","-23.71829","-46.58301","361","7779"
"423032_ida","-23.71806","-46.5832","362","7811"
"423032_ida","-23.71776","-46.58348","363","7855"
"423032_ida","-23.71762","-46.58365","364","7878"
"423032_ida","-23.71749","-46.58378","365","7898"
"423032_ida","-23.71713","-46.58408","366","7948"
"423032_ida","-23.71696","-46.58425","367","7974"
"423032_ida","-23.71678","-46.58442","368","8000"
"423032_ida","-23.7166","-46.5846","369","8027"
"423032_ida","-23.71644","-46.58476","370","8051"
"423032_ida","-23.71616","-46.58503","371","8093"
"423032_ida","-23.71601","-46.58516","372","8114"
"423032_ida","-23.71592","-46.58525","373","8127"
"423032_ida","-23.71583","-46.58532","374","8140"
"423032_ida","-23.7157","-46.58544","375","8159"
"423032_ida","-23.71559","-46.58554","376","8175"
"423032_ida","-23.71546","-46.58565","377","8193"
"423032_ida","-23.71536","-46.58574","378","8207"
"423032_ida","-23.71515","-46.58594","379","8238"
"423032_ida","-23.71491","-46.58616","380","8273"
"423032_ida","-23.71478","-46.58627","381","8291"
"423032_ida","-23.71464","-46.58637","382","8309"
"423032_ida","-23.71451","-46.58644","383","8325"
"423032_ida","-23.71438","-46.58651","384","8342"
"423032_ida","-23.71425","-46.58658","385","8358"
"423032_ida","-23.71408","-46.58666","386","8378"
"423032_ida","-23.714","-46.5867","387","8388"
"423032_ida","-23.71392","-46.58674","388","8398"
"423032_ida","-23.71334","-46.58699","389","8467"
"423032_ida","-23.71305","-46.5871","390","8501"
"423032_ida","-23.71291","-46.58716","391","8517"
"423032_ida","-23.71275","-46.58722","392","8536"
"423032_ida","-23.71215","-46.58747","393","8607"
"423032_ida","-23.71184","-46.5876","394","8644"
"423032_ida","-23.71169","-46.58767","395","8662"
"423032_ida","-23.71153","-46.58775","396","8682"
"423032_ida","-23.7104","-46.58819","397","8815"
"423032_ida","-23.71027","-46.58827","398","8830"
"423032_ida","-23.71022","-46.58826","399","8836"
"423032_ida","-23.71015","-46.58827","400","8844"
"423032_ida","-23.71008","-46.58829","401","8853"
"423032_ida","-23.70973","-46.58842","402","8893"
"423032_ida","-23.70939","-46.58852","403","8932"
"423032_ida","-23.70899","-46.58862","404","8978"
"423032_ida","-23.70879","-46.58868","405","9001"
"423032_ida","-23.70859","-46.58873","406","9024"
"423032_ida","-23.70853","-46.58875","407","9031"
"423032_ida","-23.7085","-46.58877","408","9035"
"423032_ida","-23.70847","-46.58879","409","9038"
"423032_ida","-23.70832","-46.58882","410","9055"
"423032_ida","-23.70817","-46.58885","411","9072"
"423032_ida","-23.70803","-46.58887","412","9087"
"423032_ida","-23.70789","-46.58887","413","9103"
"423032_ida","-23.70767","-46.58884","414","9127"
"423032_ida","-23.7075","-46.58881","415","9146"
"423032_ida","-23.7074","-46.58879","416","9157"
"423032_ida","-23.70728","-46.58875","417","9171"
"423032_ida","-23.70689","-46.58866","418","9215"
"423032_ida","-23.70658","-46.5886","419","9251"
"423032_ida","-23.70626","-46.58858","420","9286"
"423032_ida","-23.70609","-46.58859","421","9305"
"423032_ida","-23.70592","-46.5886","422","9324"
"423032_ida","-23.70573","-46.58861","423","9345"
"423032_ida","-23.70556","-46.58861","424","9364"
"423032_ida","-23.7052","-46.58862","425","9404"
"423032_ida","-23.705","-46.58862","426","9426"
"423032_ida","-23.70485","-46.5886","427","9442"
"423032_ida","-23.70461","-46.58855","428","9469"
"423032_ida","-23.70443","-46.58848","429","9490"
"423032_ida","-23.70425","-46.58843","430","9511"
"423032_ida","-23.70412","-46.58841","431","9526"
"423032_ida","-23.70398","-46.5884","432","9541"
"423032_ida","-23.70388","-46.58839","433","9553"
"423032_ida","-23.7037","-46.58842","434","9573"
"423032_ida","-23.70352","-46.58847","435","9594"
"423032_ida","-23.70342","-46.58849","436","9605"
"423032_ida","-23.70331","-46.58851","437","9617"
"423032_ida","-23.70319","-46.58851","438","9630"
"423032_ida","-23.70308","-46.58849","439","9642"
"423032_ida","-23.70288","-46.5884","440","9665"
"423032_ida","-23.70259","-46.58818","441","9705"
"423032_ida","-23.70232","-46.58795","442","9743"
"423032_ida","-23.70223","-46.58788","443","9755"
"423032_ida","-23.70214","-46.58783","444","9767"
"423032_ida","-23.70201","-46.58779","445","9782"
"423032_ida","-23.70191","-46.58778","446","9793"
"423032_ida","-23.70181","-46.58778","447","9805"
"423032_ida","-23.70163","-46.5878","448","9825"
"423032_ida","-23.70144","-46.58783","449","9846"
"423032_ida","-23.701","-46.58782","450","9894"
"423032_ida","-23.70083","-46.58776","451","9913"
